id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21580160,Evolve | Asheville Home: 20 Acres w/ Swimming Pond,121681645,Evolve,,28803,35.54271,-82.51165,Entire home/apt,258,2,31,2022-09-05,0.59,28,312,18,
21591133,"Cozy & convenient in Asheville, Grove park area",1210602,Justin,,28804,35.62531,-82.54561,Entire home/apt,138,5,12,2022-01-09,0.23,1,233,3,
21631995,"Two Bedroom Dream, Close to Everything with Fireplace.",72663636,Gordon & Kimberly,,28801,35.60832,-82.55822,Entire home/apt,130,2,329,2022-09-03,5.58,2,125,75,
21640556,AVL Mountain Getaway (kid and pet friendly),28370948,Will,,28805,35.59729,-82.49564,Entire home/apt,103,2,192,2022-08-28,3.26,1,6,11,
21682891,"Cozy, Convenient: 3 Bdrm Home, 3 miles to Biltmore",15565480,Nicole,,28803,35.54933,-82.50863,Entire home/apt,174,2,144,2022-09-05,2.46,3,74,29,
21693285,"Elegant Guest Suite in Asheville, Ten Minutes to South Slope",141355755,Brandon,,28804,35.63801,-82.57386,Entire home/apt,88,1,484,2022-09-10,8.37,1,49,99,
21709922,Relaxing River Oasis with Pool and Hot Tub,158054785,Ladonna,,28704,35.44744,-82.55693,Entire home/apt,385,3,36,2020-09-08,0.63,1,109,0,
21713835,Charming Getaway in Historic Downtown Asheville,18450336,Michele,,28801,35.60784,-82.56507,Entire home/apt,96,2,104,2020-03-13,2.11,2,236,0,
21748228,Gilbert's Getaway (Extra Clean!),28475957,Wilant & Alice,,28804,35.6193,-82.55925,Entire home/apt,118,2,253,2022-09-04,5.22,1,11,49,
21784784,West Asheville Get-Away,12610486,Jennifer,,28806,35.57602,-82.59122,Entire home/apt,165,2,58,2022-08-28,0.99,1,326,25,
21798869,Montford Urban Treehouse,124851805,Danya,,28801,35.60792,-82.57085,Entire home/apt,95,30,5,2022-05-05,0.12,1,274,2,
21829016,The Down Home Doublewide,3682939,Teresa,,28806,35.60257,-82.62529,Entire home/apt,120,2,125,2022-08-14,2.14,1,30,18,
21836696,2 Bedroom Condo - Blocks From Downtown Asheville,21500666,Rory,,28801,35.60272,-82.55753,Entire home/apt,164,30,37,2022-09-10,5.39,1,327,37,
21850640,Sunny Mountain Dwelling in W. Asheville,1710864,Katie,,28806,35.56297,-82.63916,Entire home/apt,90,1,193,2022-08-29,3.35,1,0,10,
21853043,Ideal for couples/solos-COZY & CLOSE TO DOWNTOWN!,5097941,Steven,,28801,35.61269,-82.55416,Entire home/apt,102,2,110,2021-03-07,1.88,2,0,0,
21894298,Pet-Friendly Upper Berne Chalet in Asheville!,8255241,Judy,,28805,35.59547,-82.53686,Entire home/apt,243,1,65,2022-08-01,1.21,2,258,8,
21911184,The Cottage at Winghaven—A Stunning Woodland Paradise,24938934,Jofre & Saskia,,28732,35.44551,-82.46923,Entire home/apt,183,2,165,2022-08-28,2.96,2,323,29,
