status_id,created_at,screen_name,text,is_retweet
1287394818801508353,2020-07-26T14:30:18Z,multistagecorre,"ISS Camera 12 11 2011 a streetcap1 video 
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! highres:https://t.co/nNNEVhZW0C https://t.co/18UpXvVkJ0",FALSE
1287160488774836224,2020-07-25T22:59:09Z,multistagecorre,"can you believe the sloppiness years passed until we where able to bypass most lies with the apollo auto transcripts highres:https://t.co/dAvREPfqpu 
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! https://t.co/5YS615C06e",FALSE
1286739603400032258,2020-07-24T19:06:42Z,multistagecorre,"silent user contribution 51  thanks  
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! highres:https://t.co/b9w9yGbXSN https://t.co/VXaFUiNRYV",FALSE
1286994763644915713,2020-07-25T12:00:37Z,multistagecorre,"allsorts ufo-Mysterious 019  
download better copy: https://t.co/PMlV2Q39l8
#UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on
https://t.co/j3cxdxJERE
we rule the data https://t.co/jw7Wom6oDO",FALSE
1286994622108049410,2020-07-25T12:00:03Z,multistagecorre,"random ufo video 695 let the truth be known highres:https://t.co/CggZuJD3bY 
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! https://t.co/htQnQZTvru",FALSE
1287216590510002178,2020-07-26T02:42:05Z,multistagecorre,"Nasa image:as07*******
find the anomaly
download:https://t.co/pF4g7fTTds
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/2g3AvQeb8w",FALSE
1287367591523225600,2020-07-26T12:42:06Z,multistagecorre,"Nasa image:2144*******
find the anomaly
download:https://t.co/hD1oMrkRCn
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/qKQ8yl21J0",FALSE
1286836577830830080,2020-07-25T01:32:03Z,multistagecorre,"alien faces / abductee recollections
download:https://t.co/knzml7QUwi
download all 836 files 178 MB:https://t.co/wY6Gw5oCWZ

#aliens #OVNI #ufo 👽 🛸 🚀 🛰
via multistagecorre
we oppose deception https://t.co/C1MW4iBTMJ",FALSE
1287390233126932480,2020-07-26T14:12:04Z,multistagecorre,"Nasa image:AS11*******
find the anomaly
download:https://t.co/b4MWp74qgP
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/IaipB92ZTh",FALSE
1287157537201152002,2020-07-25T22:47:25Z,multistagecorre,"UFOs and anomalies near the Sun NASA SOHO satellite images August 30 2012
a myunhauzen74 video
on https://t.co/TTeCeaWvqS

#UFO #UFOs #aliens #OVNI
🛸 👽 🚀
😋
we oppose deception https://t.co/jIIDgjaUmL",FALSE
1287267904967397377,2020-07-26T06:05:59Z,multistagecorre,"allsorts na squadron fireballs in the air part 6  
download better copy: https://t.co/0zFq2cvyvk
#UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on
https://t.co/j3cxdxJERE
we rule the data https://t.co/xLFsOElsB7",FALSE
1287153666009575429,2020-07-25T22:32:02Z,multistagecorre,"alien faces / abductee recollections
download:https://t.co/PFNpuNabNh
download all 836 files 178 MB:https://t.co/wY6Gw5oCWZ

#aliens #OVNI #ufo 👽 🛸 🚀 🛰
via multistagecorre
we oppose deception https://t.co/6I1o2HDzIK",FALSE
1287388828743999488,2020-07-26T14:06:29Z,multistagecorre,"silent user contribution 2  thanks  
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! highres:https://t.co/SSGyP386Dj https://t.co/pcm8tkweB1",FALSE
1287299634398887936,2020-07-26T08:12:04Z,multistagecorre,"Nasa image:2N14*******
find the anomaly
download:https://t.co/RBof7Mj6d6
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/bBRkdhkrYQ",FALSE
1287388043897376769,2020-07-26T14:03:22Z,multistagecorre,"Giant UFOs Spheres are attacking our Sun March 26 2019
a myunhauzen74 video
on https://t.co/TTeCeaWvqS

#UFO #UFOs #aliens #OVNI
🛸 👽 🚀
😋
we oppose deception https://t.co/McWWiidWmV",FALSE
1287387503100678144,2020-07-26T14:01:13Z,multistagecorre,"random ufo video-1390-let the truth be known  
download better copy: https://t.co/AkkxaAGsB3
#UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on
https://t.co/j3cxdxJERE
we rule the data https://t.co/Dgd4MKnYcb",FALSE
1286737957068603392,2020-07-24T19:00:10Z,multistagecorre,"very simple thing just your conditioning is rock solid highres:https://t.co/W8Lcff77oX 
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! https://t.co/MbTDbqI7pu",FALSE
1287296496136839168,2020-07-26T07:59:36Z,multistagecorre,"random ufo video 703 let the truth be known highres:https://t.co/0enLj5OL2o 
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! https://t.co/06Sw3hkzlT",FALSE
1287387004544659458,2020-07-26T13:59:15Z,multistagecorre,"under water base supply delivery baltic sea zoom 1.5  highres:https://t.co/5kNZ1Q8AGo 
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! https://t.co/Ib2Cg2JrbR",FALSE
1287093271613845505,2020-07-25T18:32:03Z,multistagecorre,"alien faces / abductee recollections
download:https://t.co/9dTthqPuyk
download all 836 files 178 MB:https://t.co/wY6Gw5oCWZ

#aliens #OVNI #ufo 👽 🛸 🚀 🛰
via multistagecorre
we oppose deception https://t.co/QcIgKpHiDV",FALSE
1287042941387714560,2020-07-25T15:12:03Z,multistagecorre,"Nasa image:2N31*******
find the anomaly
download:https://t.co/iMCCky99I5
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/rapM3qZ7wh",FALSE
1287292092163788802,2020-07-26T07:42:06Z,multistagecorre,"Nasa image:8748*******
find the anomaly
download:https://t.co/sZabYz5kNE
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/Ci2y60g5QE",FALSE
1286831550462595072,2020-07-25T01:12:04Z,multistagecorre,"Nasa image:NRB *******
find the anomaly
download:https://t.co/B2GgQhGIfH
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/kIAWBiyax2",FALSE
1287148641111638016,2020-07-25T22:12:04Z,multistagecorre,"Nasa image:AS17*******
find the anomaly
download:https://t.co/xFAdYzUS7J
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/eqQWwg22JA",FALSE
1287382681114816513,2020-07-26T13:42:04Z,multistagecorre,"Nasa image:iss0*******
find the anomaly
download:https://t.co/EIyWu09Zwk
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/5Pofkw9D21",FALSE
1286990092289146882,2020-07-25T11:42:03Z,multistagecorre,"Nasa image:1N35*******
find the anomaly
download:https://t.co/xcBA6IQQpX
 
🔭 🌜🌑🌚 👽 
 #UFO
#UFOs
#aliens
#OVNI
🛸 👽 🚀
via multistagecorre 😋
archive on https://t.co/j3cxdxJERE https://t.co/ybVCfGUywP",FALSE
1286920782958952449,2020-07-25T07:06:39Z,multistagecorre,"silent user contribution 59  thanks  
🔭 🌜 🌑 🌚 👽
#UFO
#UFOs
#aliens
#OVNI
🛸👽🚀
news
via multistagecorre😋
archive on https://t.co/j3cxdxJERE

we oppose deception! highres:https://t.co/WBSg5ET3r1 https://t.co/zrgUH3fb97",FALSE
