pid,zipcode,own_occ,av_total,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,Population,Pop_Density,Median_Income,City_State
109180,2132,Y,792300,9775,1960,0,3184,2,R,CL,L,M,7,3,2,1,S,1,S,W,N,2,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
109190,2132,Y,412500,6000,1967,2005,1737,1,R,RR,G,W,8,3,2,0,S,1,S,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
109200,2136,Y,330500,4375,1965,0,1080,1,R,RR,G,M,5,3,1,1,S,1,S,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109220,2136,Y,223200,5524,1953,0,918,1,R,RN,G,M,5,3,1,0,S,1,S,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109230,2131,Y,401700,8251,1955,0,1050,1,R,CP,G,W,4,2,1,0,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109240,2132,Y,478500,5954,1976,1980,2944,1,R,RR,G,M,9,2,2,0,S,2,S,E,C,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109270,2136,Y,388600,8436,1975,NA,1232,2,R,CL,H,W,8,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109280,2131,N,417600,6169,1920,0,1476,1,R,BW,G,M,7,2,1,1,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109290,2136,N,304100,3655,1940,0,1342,1,R,CP,G,M,6,3,1,0,S,1,S,F,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109310,2136,N,351700,8301,1926,0,1248,2,R,CL,G,W,7,3,1,0,S,1,S,W,N,1,A,A,A,N,F,02136,28488,6207,58890,"Hyde Park, MA"
109330,2136,Y,333000,5099,1915,0,1832,2,R,CL,G,M,8,3,1,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109340,2132,Y,484500,5460,1932,2014,1536,2,R,CL,G,M,6,3,1,1,M,1,M,W,N,1,A,G,G,N,G,02132,36314,13251,75446,"Cambridge, MA"
109350,2131,Y,394400,4190,1958,0,1176,2,R,CL,G,M,6,3,1,1,S,1,M,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109370,2131,Y,503500,7000,1915,2002,1692,2,R,CL,H,M,7,4,1,1,S,1,M,W,N,2,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
