created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,retweeted_status,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,text,favorited_by,scopes,display_text_width,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-29T01:01:09Z,1640881746597101600,1640881746597101570,RT @POTUS: My letter in response to Speaker McCarthy. https://t.co/veNZtqmEkK,FALSE,77,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,7895,0,FALSE,FALSE,en,,FALSE,NA,NA,,,RT @POTUS: My letter in response to Speaker McCarthy. https://t.co/veNZtqmEkK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-28T17:25:03Z,1640766966037184500,1640766966037184534,"We’re expanding the network of women’s business centers to 160 centers nationwide—the largest in American history. 

These centers help women with free business counseling to start or grow a business, apply for a loan, or compete for federal contracts.",FALSE,252,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,777,4279,FALSE,FALSE,en,,NA,NA,NA,,,"We’re expanding the network of women’s business centers to 160 centers nationwide—the largest in American history. 

These centers help women with free business counseling to start or grow a business, apply for a loan, or compete for federal contracts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-27T22:15:01Z,1640477550928441300,1640477550928441348,"RT @POTUS: I call on Congress again to pass my assault weapons ban.

It's about time we make some more progress. https://t.co/ZE584cUN6R",FALSE,136,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,13163,0,FALSE,FALSE,en,,FALSE,NA,NA,,,"RT @POTUS: I call on Congress again to pass my assault weapons ban.

It's about time we make some more progress. https://t.co/ZE584cUN6R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-26T00:37:00Z,1639788507345371100,1639788507345371140,"Our budget lays out a stark contrast. 

We value everyone having a decent shot. We value seniors and hardworking Americans. 

MAGA Republicans in Congress value Big Pharma over lowering drug costs for seniors.",FALSE,209,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1465,7617,FALSE,FALSE,en,,NA,NA,NA,,,"Our budget lays out a stark contrast. 

We value everyone having a decent shot. We value seniors and hardworking Americans. 

MAGA Republicans in Congress value Big Pharma over lowering drug costs for seniors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-25T17:55:44Z,1639687525038977e3,1639687525038977026,"RT @POTUS: I also spoke to @FEMA_Deanne, who has already deployed emergency response personnel and resources to support search-and-rescue a…",FALSE,140,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,789,0,FALSE,FALSE,en,,NA,NA,NA,,,"RT @POTUS: I also spoke to @FEMA_Deanne, who has already deployed emergency response personnel and resources to support search-and-rescue a…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-25T17:55:37Z,1639687496593207300,1639687496593207300,RT @POTUS: Jill and I are praying for those who have lost loved ones in the devastating tornadoes in Mississippi and those whose loved ones…,FALSE,140,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2183,0,FALSE,FALSE,en,,NA,NA,NA,,,RT @POTUS: Jill and I are praying for those who have lost loved ones in the devastating tornadoes in Mississippi and those whose loved ones…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-25T16:02:00Z,1639658904329101300,1639658904329101312,"We're strengthening Medicare and Social Security. 

My budget would extend the life of the Medicare Trust Fund beyond 2050. Meanwhile, MAGA Republicans in Congress are threatening to gut it.",FALSE,190,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2664,11362,FALSE,FALSE,en,,NA,NA,NA,,,"We're strengthening Medicare and Social Security. 

My budget would extend the life of the Medicare Trust Fund beyond 2050. Meanwhile, MAGA Republicans in Congress are threatening to gut it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T22:11:00Z,1639389378769465300,1639389378769465344,"The Affordable Care Act expanded Medicaid to cover millions more people. That means more cancers detected early, more mental health treatment available, and less medical debt.",FALSE,175,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,843,5024,FALSE,FALSE,en,,NA,NA,NA,,,"The Affordable Care Act expanded Medicaid to cover millions more people. That means more cancers detected early, more mental health treatment available, and less medical debt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T17:37:01Z,1639320426072649700,1639320426072649728,"I signed the largest investment in climate, environmental justice, and conservation ever. 

These investments have helped protect our iconic outdoor spaces, preserve our historic sites, and make our nation more resilient to the impacts of climate change.",FALSE,254,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1113,6334,FALSE,FALSE,en,,NA,NA,NA,,,"I signed the largest investment in climate, environmental justice, and conservation ever. 

These investments have helped protect our iconic outdoor spaces, preserve our historic sites, and make our nation more resilient to the impacts of climate change.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T15:11:09Z,1639283718484369400,1639283718484369410,"We capped the cost of insulin at $35/month for seniors on Medicare. 

Then, the three biggest insulin manufacturers in the country announced they’re lowering prices as well. Congress, let’s finish the job. https://t.co/nf4peDxNRu",FALSE,205,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1382,8930,FALSE,FALSE,en,,FALSE,NA,NA,,,"We capped the cost of insulin at $35/month for seniors on Medicare. 

Then, the three biggest insulin manufacturers in the country announced they’re lowering prices as well. Congress, let’s finish the job. https://t.co/nf4peDxNRu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
