created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-29T21:35:08Z,1641192291229630500,1641192291229630465,"Targeting Thursday, March 30 at 7:29 a.m. PT for Falcon 9’s launch of the @SemperCitiusSDA Tranche 0 mission to low-Earth orbit from SLC-4E in California → https://t.co/bJFjLCiTbK",FALSE,179,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,295,2420,FALSE,FALSE,FALSE,en,,"Targeting Thursday, March 30 at 7:29 a.m. PT for Falcon 9’s launch of the @SemperCitiusSDA Tranche 0 mission to low-Earth orbit from SLC-4E in California → https://t.co/bJFjLCiTbK",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-29T21:06:57Z,1641185198024048600,1641185198024048640,Deployment of 56 Starlink satellites confirmed,FALSE,46,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,490,5202,FALSE,FALSE,NA,en,,Deployment of 56 Starlink satellites confirmed,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-29T20:10:36Z,1641171017354694700,1641171017354694657,Falcon 9’s first stage has landed on the Just Read the Instructions droneship https://t.co/BeO1VrgvOe,FALSE,77,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3665,30722,FALSE,FALSE,FALSE,en,,Falcon 9’s first stage has landed on the Just Read the Instructions droneship https://t.co/BeO1VrgvOe,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-29T20:01:51Z,1641168813134839800,1641168813134839810,Liftoff! https://t.co/92i7ApdDfz,FALSE,8,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3313,29647,FALSE,FALSE,FALSE,en,,Liftoff! https://t.co/92i7ApdDfz,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-29T19:55:38Z,1641167248512647200,1641167248512647173,Watch Falcon 9 launch 56 Starlink satellites to orbit → https://t.co/bJFjLCiTbK https://t.co/Oz3UHmtBJo,FALSE,103,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1080,6546,FALSE,FALSE,FALSE,en,,Watch Falcon 9 launch 56 Starlink satellites to orbit → https://t.co/bJFjLCiTbK https://t.co/Oz3UHmtBJo,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-28T21:06:22Z,1640822664611917800,1640822664611917824,"Targeting Wednesday, March 29 at 4:01 p.m. ET for Falcon 9’s launch of 56 Starlink satellites to low-Earth orbit from SLC-40 in Florida → https://t.co/bJFjLCiTbK",FALSE,161,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,472,3643,FALSE,FALSE,FALSE,en,,"Targeting Wednesday, March 29 at 4:01 p.m. ET for Falcon 9’s launch of 56 Starlink satellites to low-Earth orbit from SLC-40 in Florida → https://t.co/bJFjLCiTbK",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T17:04:48Z,1639312318931812400,1639312318931812352,"Falcon 9 launches Starlink to orbit, completing our 20th launch of the year https://t.co/2aX0OURUtk",FALSE,75,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1788,16196,FALSE,FALSE,FALSE,en,,"Falcon 9 launches Starlink to orbit, completing our 20th launch of the year https://t.co/2aX0OURUtk",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T16:49:15Z,1639308405897822200,1639308405897822208,Deployment of 56 Starlink satellites confirmed,FALSE,46,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,507,5341,FALSE,FALSE,NA,en,,Deployment of 56 Starlink satellites confirmed,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T15:52:16Z,1639294066688163800,1639294066688163842,Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/34f8zYCKbz,FALSE,74,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3993,37802,FALSE,FALSE,FALSE,en,,Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/34f8zYCKbz,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T15:43:59Z,1639291982676893700,1639291982676893696,Liftoff! https://t.co/QJUch6L6QQ,FALSE,8,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3414,31047,FALSE,FALSE,FALSE,en,,Liftoff! https://t.co/QJUch6L6QQ,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T15:37:23Z,1639290320444850200,1639290320444850176,Watch Falcon 9 launch 56 Starlink satellites to orbit → https://t.co/bJFjLCiTbK  https://t.co/Ci2QQF5ps1,FALSE,104,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1122,5853,FALSE,FALSE,FALSE,en,,Watch Falcon 9 launch 56 Starlink satellites to orbit → https://t.co/bJFjLCiTbK  https://t.co/Ci2QQF5ps1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T14:02:10Z,1639266356615889e3,1639266356615888898,New T-0 of 11:43 a.m. ET for today's Falcon 9 launch of Starlink. All systems and weather are looking good → https://t.co/bJFjLCilmc,FALSE,132,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,337,2771,FALSE,FALSE,FALSE,en,,New T-0 of 11:43 a.m. ET for today's Falcon 9 launch of Starlink. All systems and weather are looking good → https://t.co/bJFjLCilmc,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T13:41:14Z,1638898702864765e3,1638898702864764930,"Static fire test complete – targeting Friday, March 24 at 11:33 a.m. ET for Falcon 9’s launch of 56 Starlink satellites to low-Earth orbit from SLC-40 in Florida → https://t.co/bJFjLCiTbK",FALSE,187,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,444,3846,FALSE,FALSE,FALSE,en,,"Static fire test complete – targeting Friday, March 24 at 11:33 a.m. ET for Falcon 9’s launch of 56 Starlink satellites to low-Earth orbit from SLC-40 in Florida → https://t.co/bJFjLCiTbK",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T00:03:47Z,1638692986014900200,1638692986014900225,Starlink is now available in Haiti → https://t.co/slZbTmYOKV,FALSE,60,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3044,22676,FALSE,FALSE,FALSE,en,,Starlink is now available in Haiti → https://t.co/slZbTmYOKV,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20T22:22:03Z,1637942606020890600,1637942606020890624,View from the second stage following last week's launch of SES-18 and SES-19 to a geosynchronous transfer orbit https://t.co/GbSbq6ob2m,FALSE,111,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,6103,42178,FALSE,FALSE,FALSE,en,,View from the second stage following last week's launch of SES-18 and SES-19 to a geosynchronous transfer orbit https://t.co/GbSbq6ob2m,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-18T00:38:56Z,163688989070003e4,1636889890700029952,"Congrats to the SpaceX team on launching two Falcon 9 missions ~4 hours apart today, completing our 18th and 19th missions of 2023 so far https://t.co/EtDsDBP26r",FALSE,137,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1307,11032,FALSE,FALSE,FALSE,en,,"Congrats to the SpaceX team on launching two Falcon 9 missions ~4 hours apart today, completing our 18th and 19th missions of 2023 so far https://t.co/EtDsDBP26r",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-18T00:36:19Z,1636889232102011e3,1636889232102010881,Falcon 9 launches SES-18 and SES-19 to orbit https://t.co/UIGvvdtOth,FALSE,44,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1447,9058,FALSE,FALSE,FALSE,en,,Falcon 9 launches SES-18 and SES-19 to orbit https://t.co/UIGvvdtOth,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-18T00:16:20Z,1636884204649844700,1636884204649844738,Deployment of SES-19 confirmed https://t.co/be6kqPZ7Ic,FALSE,30,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1210,7698,FALSE,FALSE,FALSE,en,,Deployment of SES-19 confirmed https://t.co/be6kqPZ7Ic,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-18T00:10:50Z,1636882820089147400,1636882820089147392,Deployment of SES-18 confirmed,FALSE,30,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,333,3102,FALSE,FALSE,NA,en,,Deployment of SES-18 confirmed,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T23:48:05Z,1636877095505903600,1636877095505903618,Falcon 9’s first stage has landed on the Just Read the Instructions droneship https://t.co/fAK4AKRBbn,FALSE,77,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1376,9498,FALSE,FALSE,FALSE,en,,Falcon 9’s first stage has landed on the Just Read the Instructions droneship https://t.co/fAK4AKRBbn,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T23:38:39Z,1636874721680834600,1636874721680834560,Liftoff! https://t.co/ubvSTsKa15,FALSE,8,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1493,9497,FALSE,FALSE,FALSE,en,,Liftoff! https://t.co/ubvSTsKa15,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T23:26:07Z,1636871564724695e3,1636871564724695040,Watch Falcon 9 launch @SES_Satellites’ SES-18 and SES-19 to orbit → https://t.co/bJFjLCiTbK  https://t.co/wH9as8fIN6,FALSE,116,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1213,5400,FALSE,FALSE,FALSE,en,,Watch Falcon 9 launch @SES_Satellites’ SES-18 and SES-19 to orbit → https://t.co/bJFjLCiTbK  https://t.co/wH9as8fIN6,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T21:00:27Z,1636834908382572500,1636834908382572554,Falcon 9 vertical at SLC-40 ahead of tonight’s launch of the @SES_Satellites SES-18 and SES-19 mission; teams are keeping an eye on winds at the launch site https://t.co/0U5aZe3Sus,FALSE,156,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,516,4243,FALSE,FALSE,FALSE,en,,Falcon 9 vertical at SLC-40 ahead of tonight’s launch of the @SES_Satellites SES-18 and SES-19 mission; teams are keeping an eye on winds at the launch site https://t.co/0U5aZe3Sus,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T19:46:36Z,1636816323027288e3,1636816323027288064,Deployment of 52 Starlink satellites confirmed,FALSE,46,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,507,4725,FALSE,FALSE,NA,en,,Deployment of 52 Starlink satellites confirmed,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T19:36:07Z,1636813682423533600,1636813682423533568,Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/8k4vdF5e1u,FALSE,77,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2139,16389,FALSE,FALSE,FALSE,en,,Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/8k4vdF5e1u,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T19:27:28Z,1636811506271805400,1636811506271805440,Liftoff! https://t.co/scElnpo3uy,FALSE,8,,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1615,12606,FALSE,FALSE,FALSE,en,,Liftoff! https://t.co/scElnpo3uy,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T19:16:32Z,1636808757308174300,1636808757308174336,Watch Falcon 9 launch 52 Starlink satellites to orbit → https://t.co/bJFjLCiTbK https://t.co/swDuy5Yz4j,FALSE,103,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1107,4905,FALSE,FALSE,FALSE,en,,Watch Falcon 9 launch 52 Starlink satellites to orbit → https://t.co/bJFjLCiTbK https://t.co/swDuy5Yz4j,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
