created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,text,favorited_by,scopes,display_text_width,retweeted_status,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-23T23:35:00Z,1639048129407488e3,1639048129407488001,Last time they tried this someone pretended to be Eli Lilly and tanked their stock price by pretending insulin was free https://t.co/sKc26Km8YW,FALSE,119,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1639029459557679e3,1639029459557679104,,,5151,64708,FALSE,FALSE,FALSE,en,Last time they tried this someone pretended to be Eli Lilly and tanked their stock price by pretending insulin was free https://t.co/sKc26Km8YW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-21T21:49:30Z,1638296802532130800,1638296802532130816,Love it! Congrats on a great and fruitful year @CMCrystalHudson 🤗 https://t.co/kv0sxM4g7f,FALSE,65,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1638203818809729e3,1638203818809729024,,,147,1133,FALSE,FALSE,FALSE,en,Love it! Congrats on a great and fruitful year @CMCrystalHudson 🤗 https://t.co/kv0sxM4g7f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-11T19:51:40Z,1634643268326629400,1634643268326629376,"The regulators were there until SVB lobbied Congress to remove the guardrails that prevent this kind of crisis in the first place.

Warnings were everywhere. SVB, like many gamblers before them, knew what they were doing. Let the FDIC open the books &amp; see what it’s working with. https://t.co/XCoUCitjJK",FALSE,283,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1634414623087550500,1634414623087550464,,,4917,35087,FALSE,FALSE,FALSE,en,"The regulators were there until SVB lobbied Congress to remove the guardrails that prevent this kind of crisis in the first place.

Warnings were everywhere. SVB, like many gamblers before them, knew what they were doing. Let the FDIC open the books &amp; see what it’s working with. https://t.co/XCoUCitjJK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-03T20:12:58Z,1631749527211311e3,1631749527211311129,"If it’s so “uninvestable,” then why is NYC home to some of the most billionaires in the world?

This is what billionaires do. They leverage their power to gain platforms and spread unsubstantiated claims to push policies that are even more favorable to them than they already are. https://t.co/RdVXesgZZo",FALSE,280,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1631640808645439500,1631640808645439490,,,4887,44999,FALSE,FALSE,FALSE,en,"If it’s so “uninvestable,” then why is NYC home to some of the most billionaires in the world?

This is what billionaires do. They leverage their power to gain platforms and spread unsubstantiated claims to push policies that are even more favorable to them than they already are. https://t.co/RdVXesgZZo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-03T17:22:43Z,1631706682597179400,1631706682597179405,"When I opposed this Amazon project coming to New York bc it was a scam of public funds, the whole power establishment came after us.

Billboards went up in Times Sq denouncing me. Powerful pols promised revenge. Op-Eds &amp; CEOs insulted my intelligence.

In the end, we were right. https://t.co/F1sNvZcISq",FALSE,283,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1631679059569655800,1631679059569655813,,,4845,44037,FALSE,FALSE,FALSE,en,"When I opposed this Amazon project coming to New York bc it was a scam of public funds, the whole power establishment came after us.

Billboards went up in Times Sq denouncing me. Powerful pols promised revenge. Op-Eds &amp; CEOs insulted my intelligence.

In the end, we were right. https://t.co/F1sNvZcISq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-03T03:51:00Z,1631502407132672e3,1631502407132672001,"This ain’t it. DC has a right to govern itself, like any other state or municipality. If the President supports DC statehood, he should govern like it.

Plenty of places pass laws the President may disagree with. He should respect the people’s gov of DC just as he does elsewhere. https://t.co/VXczSp8YPc",FALSE,280,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1631392285182009300,1631392285182009376,,,2197,26069,FALSE,FALSE,FALSE,en,"This ain’t it. DC has a right to govern itself, like any other state or municipality. If the President supports DC statehood, he should govern like it.

Plenty of places pass laws the President may disagree with. He should respect the people’s gov of DC just as he does elsewhere. https://t.co/VXczSp8YPc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-13T03:01:41Z,1624967013817884700,1624967013817884674,Something tells me Jesus would *not* spend millions of dollars on Super Bowl ads to make fascism look benign,FALSE,108,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,25035,241399,FALSE,FALSE,NA,en,Something tells me Jesus would *not* spend millions of dollars on Super Bowl ads to make fascism look benign,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-13T02:22:51Z,1624957241299198e3,1624957241299197954,Birds of a feather flock together🪶 https://t.co/ppW19alJZX,FALSE,34,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1624951729119961e3,1624951729119961088,,,11015,181335,FALSE,FALSE,FALSE,en,Birds of a feather flock together🪶 https://t.co/ppW19alJZX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-10T22:52:54Z,1624179631476641800,1624179631476641793,"An absolute honor to meet you, @aniellefranco! Obrigada 💕 https://t.co/4pllokHFRy",FALSE,57,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1624134237451436e3,1624134237451436032,,,562,11939,FALSE,FALSE,FALSE,en,"An absolute honor to meet you, @aniellefranco! Obrigada 💕 https://t.co/4pllokHFRy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-10T20:34:53Z,1624144897430196200,1624144897430196253,"It was a true honor meeting with you @LulaOficial and discussing global solidarity for the planet and working people.

Obrigada! https://t.co/v57UfcHclQ",FALSE,128,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1624125996600262700,1624125996600262657,,,2522,42737,FALSE,FALSE,FALSE,en,"It was a true honor meeting with you @LulaOficial and discussing global solidarity for the planet and working people.

Obrigada! https://t.co/v57UfcHclQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-09T16:53:10Z,1623726712608419800,1623726712608419840,Couldn’t think of a more divisive candidate for the job! https://t.co/TJM51rZzWz,FALSE,56,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1623715168570974200,1623715168570974209,,,426,5126,FALSE,FALSE,FALSE,en,Couldn’t think of a more divisive candidate for the job! https://t.co/TJM51rZzWz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-09T00:32:10Z,1623479835564572700,1623479835564572673,"Fascinating how after years of “debate me!!!” cries, the moment Republicans won control of committee debates and hearings, they flopped spectacularly.

They controlled the topic, time, witnesses, named their “star” members, and STILL failed. What’s going to be their excuse now?",FALSE,278,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,8456,93709,FALSE,FALSE,NA,en,"Fascinating how after years of “debate me!!!” cries, the moment Republicans won control of committee debates and hearings, they flopped spectacularly.

They controlled the topic, time, witnesses, named their “star” members, and STILL failed. What’s going to be their excuse now?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-09T00:12:25Z,1623474864664330200,1623474864664330240,"In summary, Republicans held an Oversight hearing to air grievances about their personal Twitter accounts and praise God for Elon Musk.

That’s not an exaggeration, by the way. Several GOP members thanked God for the billionaire in their remarks. I wonder what he did for them! 🤔 https://t.co/jcmmee417e",FALSE,279,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1623419189040906200,1623419189040906240,,,5282,38362,FALSE,FALSE,FALSE,en,"In summary, Republicans held an Oversight hearing to air grievances about their personal Twitter accounts and praise God for Elon Musk.

That’s not an exaggeration, by the way. Several GOP members thanked God for the billionaire in their remarks. I wonder what he did for them! 🤔 https://t.co/jcmmee417e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T22:14:19Z,1621633207601975300,1621633207601975297,Queen Schakowsky in the House👑 https://t.co/5UoFDY7kkV,FALSE,30,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1621226690797076500,1621226690797076481,,,4129,35332,FALSE,FALSE,FALSE,en,Queen Schakowsky in the House👑 https://t.co/5UoFDY7kkV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T19:14:41Z,1621587999308882e3,1621587999308881920,"Let’s examine one of the GOP’s arguments yesterday: that criticism of US/Israeli gov’s role in the Palestinian human rights crisis, which orgs from @hrw to @amnesty are sounding the alarm on, is equivalent to antisemitism.

It’s a dangerous conflation, and we must recognize that. https://t.co/0HMyPhNQmp",FALSE,280,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,3800,19025,FALSE,FALSE,FALSE,en,"Let’s examine one of the GOP’s arguments yesterday: that criticism of US/Israeli gov’s role in the Palestinian human rights crisis, which orgs from @hrw to @amnesty are sounding the alarm on, is equivalent to antisemitism.

It’s a dangerous conflation, and we must recognize that. https://t.co/0HMyPhNQmp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T13:57:46Z,1621508244718887e3,1621508244718886912,💯 https://t.co/bkYDjw7ai3,FALSE,1,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1620880910710378500,1620880910710378496,,,733,6789,FALSE,FALSE,FALSE,art,💯 https://t.co/bkYDjw7ai3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T05:23:54Z,1621378924998541300,1621378924998541313,"Hey there! In case you forgot, we sit on the same committee, which debated for the first time this week.

I don’t blame you if you forgot. You spent almost no time there. In the few minutes you did show up, you claimed one elementary school got *$5 billion dollars* to teach CRT🤣 https://t.co/pPwI4Irz9c",FALSE,279,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1621334599396724700,1621334599396724737,,,23090,243694,FALSE,FALSE,FALSE,en,"Hey there! In case you forgot, we sit on the same committee, which debated for the first time this week.

I don’t blame you if you forgot. You spent almost no time there. In the few minutes you did show up, you claimed one elementary school got *$5 billion dollars* to teach CRT🤣 https://t.co/pPwI4Irz9c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-31T02:09:28Z,1620242833029623800,1620242833029623808,"Excited and humbled to share that this evening I was selected to serve as @RepRaskin’s #2 on the House Oversight Committee.

Thank you to my colleagues on @OversightDems for entrusting me with this responsibility. I’m thrilled to get to work with our incredible Oversight team!",FALSE,277,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,4769,65749,FALSE,FALSE,NA,en,"Excited and humbled to share that this evening I was selected to serve as @RepRaskin’s #2 on the House Oversight Committee.

Thank you to my colleagues on @OversightDems for entrusting me with this responsibility. I’m thrilled to get to work with our incredible Oversight team!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-28T02:36:14Z,1619162406583931e3,1619162406583930881,"The effort to separate the officers who murdered Tyre Nichols from the system of policing that produced them is palpable.

Police killings in the US reached a record high in 2022. That has only been rewarded with more funding at the expense of schools, hospitals, housing, &amp; more.",FALSE,284,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,19085,109351,FALSE,FALSE,NA,en,"The effort to separate the officers who murdered Tyre Nichols from the system of policing that produced them is palpable.

Police killings in the US reached a record high in 2022. That has only been rewarded with more funding at the expense of schools, hospitals, housing, &amp; more.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-27T03:14:49Z,1618809727261245400,1618809727261245440,Woof. Even my psilocybin amendment did better than this 😅 https://t.co/ZuyUYRl6QI,FALSE,57,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1618746273720422400,1618746273720422402,,,4374,78192,FALSE,FALSE,FALSE,en,Woof. Even my psilocybin amendment did better than this 😅 https://t.co/ZuyUYRl6QI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-27T03:04:41Z,1618807177002770400,1618807177002770432,"In case you’re curious about why this man is so angry with me, it may be because I introduced an amendment to a GOP bill that would prohibit oil and gas companies who engage in stock buybacks from leasing federal lands.

Seems as though I hit a nerve! 😇 https://t.co/AoLRNQDh8f",FALSE,253,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1618775164510154800,1618775164510154753,,,4554,38304,FALSE,FALSE,FALSE,en,"In case you’re curious about why this man is so angry with me, it may be because I introduced an amendment to a GOP bill that would prohibit oil and gas companies who engage in stock buybacks from leasing federal lands.

Seems as though I hit a nerve! 😇 https://t.co/AoLRNQDh8f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-27T02:34:47Z,1618799653075705900,1618799653075705856,Fewer things are more predictable than Republicans having a meltdown when I’m clearing them in debate. 💅🏽 https://t.co/AoLRNQDh8f,FALSE,105,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1618775164510154800,1618775164510154753,,,4590,48926,FALSE,FALSE,FALSE,en,Fewer things are more predictable than Republicans having a meltdown when I’m clearing them in debate. 💅🏽 https://t.co/AoLRNQDh8f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-22T02:48:54Z,1616991266411057200,1616991266411057152,"brb crying because Ms. Jacobs, my second grade teacher, showed up to surprise me at our monthly town hall and kept a note I wrote her over 20 years ago 😭😭 https://t.co/tHK4Y7n4KO",FALSE,154,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,NA,NA,,,7397,184760,FALSE,FALSE,FALSE,en,"brb crying because Ms. Jacobs, my second grade teacher, showed up to surprise me at our monthly town hall and kept a note I wrote her over 20 years ago 😭😭 https://t.co/tHK4Y7n4KO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-15T01:13:07Z,1614430446065942500,1614430446065942528,"What’s the thinking behind publicly insulting the very Dem votes one needs (but doesn’t have) to pass a controversial judicial candidate…?

@NYSenatorRivera is a champion for our Latine community and leader on single payer healthcare. Cuomo-style bullying isn’t gonna fly here. https://t.co/9FQDxVSIVb",FALSE,277,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1614408479887736800,1614408479887736833,,,466,3513,FALSE,FALSE,FALSE,en,"What’s the thinking behind publicly insulting the very Dem votes one needs (but doesn’t have) to pass a controversial judicial candidate…?

@NYSenatorRivera is a champion for our Latine community and leader on single payer healthcare. Cuomo-style bullying isn’t gonna fly here. https://t.co/9FQDxVSIVb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-11T00:41:55Z,1612973043583697e3,1612973043583696897,Did you know that ongoing exposure to NO2 from gas stoves is linked to reduced cognitive performance https://t.co/1bjmHqnHVa,FALSE,100,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1612839703018934300,1612839703018934274,,,9909,145678,FALSE,FALSE,FALSE,en,Did you know that ongoing exposure to NO2 from gas stoves is linked to reduced cognitive performance https://t.co/1bjmHqnHVa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-08T22:17:25Z,1612211900326215700,1612211900326215681,"Nearly 2 years to the day the US Capitol was attacked by fascists, we see fascist movements abroad attempt to do the same in Brazil.

We must stand in solidarity with @LulaOficial’s democratically elected government. 🇧🇷

The US must cease granting refuge to Bolsonaro in Florida. https://t.co/rzsZl9jwZY",FALSE,279,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,1612150826809839600,1612150826809839619,,,28493,184893,FALSE,FALSE,FALSE,en,"Nearly 2 years to the day the US Capitol was attacked by fascists, we see fascist movements abroad attempt to do the same in Brazil.

We must stand in solidarity with @LulaOficial’s democratically elected government. 🇧🇷

The US must cease granting refuge to Bolsonaro in Florida. https://t.co/rzsZl9jwZY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
