created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-29T17:35:11Z,1641131902844436500,1641131902844436480,"In which @RickRubin says: trust your gut, not your audience.

Amazing conversation:

https://t.co/GgOWwWQO5V",FALSE,108,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,17,179,FALSE,FALSE,FALSE,en,NA,NA,,,"In which @RickRubin says: trust your gut, not your audience.

Amazing conversation:

https://t.co/GgOWwWQO5V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-29T04:33:39Z,1640935227068682200,1640935227068682240,I'm interviewing New York City Mayor Eric Adams tomorrow on @thehonestlypod. What would you have me ask him?,FALSE,108,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,57,870,FALSE,FALSE,NA,en,NA,NA,,,I'm interviewing New York City Mayor Eric Adams tomorrow on @thehonestlypod. What would you have me ask him?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-28T17:41:38Z,1640771140464570400,1640771140464570369,"J.K. Rowling's critics claim she believes all kinds of things about gender. Here is what she actually believes: 
https://t.co/uXcvYXvmjN",FALSE,136,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,81,475,FALSE,FALSE,FALSE,en,NA,NA,,,"J.K. Rowling's critics claim she believes all kinds of things about gender. Here is what she actually believes: 
https://t.co/uXcvYXvmjN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-28T15:21:57Z,1640735989261041700,1640735989261041664,"Strange coincidence...

https://t.co/RzPVHtJZH2",FALSE,47,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,175,1198,FALSE,FALSE,FALSE,en,NA,NA,,,"Strange coincidence...

https://t.co/RzPVHtJZH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-26T18:21:02Z,1640056281280180200,1640056281280180230,This book is a masterpiece. It comes out in April and you can preorder it here: https://t.co/DDZz9jB7fC https://t.co/9tCRAlphYx,FALSE,103,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,25,267,FALSE,FALSE,FALSE,en,NA,NA,,,This book is a masterpiece. It comes out in April and you can preorder it here: https://t.co/DDZz9jB7fC https://t.co/9tCRAlphYx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-24T19:24:58Z,1639347593728893e3,1639347593728892928,"What a pleasure talking with @missmayim and Jonathan Cohen on @BiaIikBreakdown: 
https://t.co/JZWfz8fasY",FALSE,104,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,13,68,FALSE,FALSE,FALSE,en,NA,NA,,,"What a pleasure talking with @missmayim and Jonathan Cohen on @BiaIikBreakdown: 
https://t.co/JZWfz8fasY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T15:12:18Z,1638921621460377600,1638921621460377600,"A first-generation student. A soccer star. And the “institutional bullying” from administrators that upended their lives…
This story will stay with you. Remarkable reporting from @FrancescaBlock3.
https://t.co/NehEK1XHTg",FALSE,220,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,188,866,FALSE,FALSE,FALSE,en,NA,NA,,,"A first-generation student. A soccer star. And the “institutional bullying” from administrators that upended their lives…
This story will stay with you. Remarkable reporting from @FrancescaBlock3.
https://t.co/NehEK1XHTg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-22T19:02:19Z,1638617119016484900,1638617119016484864,"""I came to the U.S. prizing its freedoms. But I found that this nation’s most powerful people value something else entirely.""

This is a devastating piece by @YeonmiParkNK about the moral corruption of America's elite.

https://t.co/WrVHgh2CsE",FALSE,243,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,347,1217,FALSE,FALSE,FALSE,en,NA,NA,,,"""I came to the U.S. prizing its freedoms. But I found that this nation’s most powerful people value something else entirely.""

This is a devastating piece by @YeonmiParkNK about the moral corruption of America's elite.

https://t.co/WrVHgh2CsE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-22T17:48:53Z,1638598639168946200,1638598639168946176,"So proud of bestie @standupdan (who I met on this website!) and who, in addition to being a stand-up, an actor, podcaster, a writer, and the most vicious roaster I have ever seen, is now an author. GO BUY UNDERCOOKED! https://t.co/uodOIrlNfk",FALSE,217,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,13,89,FALSE,FALSE,FALSE,en,1638259557251321900,1638259557251321856,,,"So proud of bestie @standupdan (who I met on this website!) and who, in addition to being a stand-up, an actor, podcaster, a writer, and the most vicious roaster I have ever seen, is now an author. GO BUY UNDERCOOKED! https://t.co/uodOIrlNfk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-22T02:32:19Z,1638367977614770200,1638367977614770176,"Rarely have more fun with a podcast guest than @tylercowen. Always learn something + he always surprises me in some way. In today's episode: bank runs, crypto scams, world-changing AI. Also: his favorite (recent) Romanian novel; why he loved the movie ""Return to Seoul"" &amp; more. https://t.co/e8VBYetkZE",FALSE,281,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,26,249,FALSE,FALSE,FALSE,en,1638276329144569900,1638276329144569858,,,"Rarely have more fun with a podcast guest than @tylercowen. Always learn something + he always surprises me in some way. In today's episode: bank runs, crypto scams, world-changing AI. Also: his favorite (recent) Romanian novel; why he loved the movie ""Return to Seoul"" &amp; more. https://t.co/e8VBYetkZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-21T16:43:33Z,1638219809153503200,1638219809153503232,"""One day in November 2007, on his way to work with a couple of his friends, my brother Samir was stopped at an al-Qaeda checkpoint. His friends fled. My brother was never seen again.""

Read @faisalalmutar.

https://t.co/ugMEIt7APA",FALSE,230,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,108,468,FALSE,FALSE,FALSE,en,NA,NA,,,"""One day in November 2007, on his way to work with a couple of his friends, my brother Samir was stopped at an al-Qaeda checkpoint. His friends fled. My brother was never seen again.""

Read @faisalalmutar.

https://t.co/ugMEIt7APA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20T16:18:19Z,1637851069878509600,1637851069878509571,"After I was convicted of murder and sentenced to 26 years in prison, when the earth dropped out from beneath me and global shame rained down on top of me, I had my first ever epiphany . . . 

Stunning essay by @amandaknox:

https://t.co/WF51uyqrTj",FALSE,247,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,78,464,FALSE,FALSE,FALSE,en,NA,NA,,,"After I was convicted of murder and sentenced to 26 years in prison, when the earth dropped out from beneath me and global shame rained down on top of me, I had my first ever epiphany . . . 

Stunning essay by @amandaknox:

https://t.co/WF51uyqrTj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20T15:39:03Z,1637841189033611300,1637841189033611264,Unbelievably powerful piece by @amandaknox: https://t.co/WF51uyqrTj,FALSE,67,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,64,341,FALSE,FALSE,FALSE,en,NA,NA,,,Unbelievably powerful piece by @amandaknox: https://t.co/WF51uyqrTj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20T00:30:35Z,1637612564355121200,1637612564355121152,Having the brilliant @tylercowen on @thehonestlypod tomorrow. What should I ask him?,FALSE,84,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,16,220,FALSE,FALSE,NA,en,NA,NA,,,Having the brilliant @tylercowen on @thehonestlypod tomorrow. What should I ask him?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-17T03:24:26Z,1636569154164764700,1636569154164764672,"Class act, @bungarsargon. Love you and @bethanyshondark. https://t.co/TNbEHpEE6Z",FALSE,56,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,37,374,FALSE,FALSE,FALSE,en,1636542411865305e3,1636542411865305090,,,"Class act, @bungarsargon. Love you and @bethanyshondark. https://t.co/TNbEHpEE6Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
