id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22289187,Yacht Club at Aventura 1 Bd 1 Bath Brand New,69722538,Ana,,Hallandale Beach,25.95562,-80.13087,Entire home/apt,135,4,24,2022-08-29,0.42,16,88,8,
35003171,GREAT BEACHFRONT CONDO,263703072,Gaby,,Hallandale Beach,25.97641,-80.11784,Entire home/apt,230,15,1,2020-02-15,0.03,1,287,0,
8697888,Aventura Home,45663562,Andres,,Hallandale Beach,25.95581,-80.13124,Entire home/apt,120,3,10,2022-06-03,0.85,1,10,10,
2194419,2 LINKED APARTMENTS - 3 BEDROOMS 2 BATHROOMS,10591425,Joana,,Fort Lauderdale,26.1738,-80.09358,Private room,500,4,31,2022-03-12,0.30,3,317,1,
18503220,Nice Aventura Yacht Club condo 1 bedr 1 bath !,84548195,Andy,,Hallandale Beach,25.95899,-80.1296,Entire home/apt,139,14,6,2022-04-10,0.09,4,36,2,
15110998,Amazing 2 bedroom 2 bath unit on the beach,29765768,Samrat,,Hallandale Beach,25.97786,-80.11762,Entire home/apt,119,29,5,2022-07-16,0.07,1,128,1,
23468109,Amazing beachfront Penthouse at The Tides,175141742,Axel,,Hollywood,25.98774,-80.11742,Entire home/apt,145,4,35,2022-06-07,0.77,2,88,10,
40395838,The Yacht club at Aventura 7-203,117684383,Antonella Karina,,Hallandale Beach,25.95755,-80.13039,Entire home/apt,170,7,2,2022-07-27,0.06,5,180,1,
575154767890136471,"Waterview, cozy, clean, quiet, 3 Bedrooms / 2 Bath",447865925,Walter English And Español,,Hallandale Beach,25.96029,-80.12759,Entire home/apt,229,20,1,2022-07-07,0.39,1,340,1,
51677999,Ocean front living !!! Unit #643,334726304,Dariens,,Hallandale Beach,25.95554,-80.11923,Entire home/apt,88,14,3,2022-07-25,0.32,1,292,3,
50911885,Lovely oceanfront studio in Marco Polo,115686009,Victoria,,Hallandale Beach,25.95539,-80.1189,Entire home/apt,75,30,0,,,1,86,0,
